Make,Model,Vehicle Type,Vehicle Type NEW
GMC,SAV,INCOMPLETE VEHICLE,Combination Long-haul Truck
RAM,2500 ST,INCOMPLETE VEHICLE,Combination Short-haul Truck
CHEV,TRAVERSE,INCOMPLETE VEHICLE,Light Commercial Truck
MACK,PROT,TRUCK,Combination Long-haul Truck
QIPAI,QP200GY,MOTORCYCLE,Motorcycle
FORD,FBEX,INCOMPLETE VEHICLE,Motor Home
KOLLTER,ES1-S,MOTORCYCLE,Motorcycle
AUDI,E-TRON S,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,WRANGLER 4X4 UTILITY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
EXCALIBUR AUTOMOBILE CORPORATION,LIMITED,PASSENGER CAR,Passenger Car
GMC,G33903,INCOMPLETE VEHICLE,Other Buses
FORD,F250 SERVICE,INCOMPLETE VEHICLE,Passenger Truck
INDIAN MOTORCYCLE,WIDERIDER,MOTORCYCLE,Motorcycle
WINN,ACCESS CLASS C,INCOMPLETE VEHICLE,Refuse Truck
HUSQVARNA,STRADA TR650,MOTORCYCLE,Motorcycle
PIAGGIO AND VESPA,PIAGGIO 1 ACTIVE,MOTORCYCLE,Motorcycle
QIPAI,KP200,MOTORCYCLE,Motorcycle
GLOBAL MOTORSPORT GROUP,AS 1340CC,MOTORCYCLE,Motorcycle
KAWASAKI,KE175,MOTORCYCLE,Motorcycle
UD,COE,INCOMPLETE VEHICLE,School Bus
ALPHA PRODUCTS INTERNATIONAL,XM3500LI,MOTORCYCLE,Motorcycle
WRKH,CARGO VAN,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
K-OTIC KUSTOMS,K-OTIC KUSTOMS,MOTORCYCLE,Motorcycle
CHRYSLER,GRAND CARAVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BMW,320I TOURING,PASSENGER CAR,Passenger Car
DODG,RAMD350,INCOMPLETE VEHICLE,Single Unit Short-haul Truck
A.P.C. MOTOR COMPANY,APC,MOTORCYCLE,Motorcycle
FORD,RVC/MY,INCOMPLETE VEHICLE,Transit Bus
CRUISE CAR,MOKE,LOW SPEED VEHICLE (LSV),Other
TAOTAO,RT200,MOTORCYCLE,Motorcycle
PIAGGIO AND VESPA,1 ACTIVE,MOTORCYCLE,Motorcycle
XIAMEN XIASHING MOTORCYCLE CO.,SCOOTER,MOTORCYCLE,Motorcycle
FENGYUAN,TITAN,MOTORCYCLE,Motorcycle
COLUMBIA,LOW SPEED VEHICLE,LOW SPEED VEHICLE (LSV),Other
THMS,SCLBUS,INCOMPLETE VEHICLE,Combination Long-haul Truck
BMW,CE 04,MOTORCYCLE,Motorcycle
MOTO GUZZI,V85 TT GUARDIA D'ONORE E5 (GUARDIA D'ONORE),MOTORCYCLE,Motorcycle
DUCATI,DESERT X,MOTORCYCLE,Motorcycle
HONDA,CRF1100,MOTORCYCLE,Motorcycle
SWIFT,BAR CHOPPER,MOTORCYCLE,Motorcycle
ZHEJIANG JMSTAR SHENKE MOTORCYCLE CO,YY50QT-8/YY150T-8/YY250T-8,MOTORCYCLE,Motorcycle
NAVI,BLUEBIRD,INCOMPLETE VEHICLE,Combination Short-haul Truck
BETA,RR,MOTORCYCLE,Motorcycle
TEYIN,EXPRESS 50,MOTORCYCLE,Motorcycle
BMW,ACTIVEHYBRID 7,PASSENGER CAR,Passenger Car
SEXTON INCORPORATED,RIPPER,MOTORCYCLE,Motorcycle
PORSCHE,911 CARRERA 2,PASSENGER CAR,Passenger Car
FORD,F-SUPER,INCOMPLETE VEHICLE,Light Commercial Truck
EXCALIBUR AUTOMOBILE CORPORATION,COBRA CV,PASSENGER CAR,Passenger Car
NISSAN,NISSAN Z,PASSENGER CAR,Passenger Car
CHEV,5500HD,INCOMPLETE VEHICLE,Motor Home
RIDLEY,750CC,MOTORCYCLE,Motorcycle
CHEV,C35RCAB,INCOMPLETE VEHICLE,Other Buses
PIAGGIO AND VESPA,BV 400,MOTORCYCLE,Motorcycle
PIAGGIO AND VESPA,1 ACTIVE 45MPH,MOTORCYCLE,Motorcycle
GMC,NON SCHOOL BUS,INCOMPLETE VEHICLE,Passenger Truck
TEYIN,TY50QTG,MOTORCYCLE,Motorcycle
MOTO GUZZI,SPECIAL,MOTORCYCLE,Motorcycle
YAMAHA,CV50,MOTORCYCLE,Motorcycle
D HART DESIGNS INC,CIVIC,TRAILER,Other
FIRST UNITED INDUSTRIAL FOSHAN,VOLT,MOTORCYCLE,Motorcycle
FORD,4DC YY,INCOMPLETE VEHICLE,Refuse Truck
ZHONGXING,M6,MOTORCYCLE,Motorcycle
