Make,Model,Vehicle Type,Vehicle Type NEW
DODGE,CARAVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
DODGE,DYNASTY,PASSENGER CAR,Passenger Car
DUCATI,MULTISTRADA (MTS),MOTORCYCLE,Motorcycle
FIAT,124 SPIDER,PASSENGER CAR,Passenger Car
FIAT,500L,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
FORD,BRONCO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
FORD,ECOSPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
FORD,F-350 SD,INCOMPLETE VEHICLE,Motor Home
FORD,F550,INCOMPLETE VEHICLE,Motor Home
FORD,FIVE HUNDRED,PASSENGER CAR,Passenger Car
GMC,C/K PICKUP,TRUCK,Single Unit Short-haul Truck
GMC,RALLY WAGON / VAN,INCOMPLETE VEHICLE,Motor Home
GMC,SAVANA,TRUCK,Single Unit Short-haul Truck
GMC,SIERRA,INCOMPLETE VEHICLE,Motor Home
GMC,SIERRA HD,TRUCK,Single Unit Short-haul Truck
HARLEY DAVIDSON,CVO ELECTRA GLIDE,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,DYNA LOW RIDER 100TH ANNIVERSARY / DYNA LOW RIDER,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,DYNA SUPER GLIDE,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FAT BOY LO,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FLFBS / FAT BOY 114,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FLH,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FLHTK / ULTRA LIMITED,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FLSTC103 / HERITAGE SOFTAIL CLASSIC,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FLTRK / ROAD GLIDE LIMITED,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FORTY-EIGHT,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FXBB / STREET BOB,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FXD,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FXDB / DYNA STREET BOB,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,FXFBS / FAT BOB 114,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,ROAD GLIDE CUSTOM 103,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,SOFTAIL CUSTOM,MOTORCYCLE,Motorcycle
HARLEY DAVIDSON,SOFTAIL SLIM 103,MOTORCYCLE,Motorcycle
HIGHLAND,IMP4D,TRAILER,Other Buses
HONDA,CBR600,MOTORCYCLE,Motorcycle
HONDA,CBX,MOTORCYCLE,Motorcycle
HONDA,CRF250,MOTORCYCLE,Motorcycle
HONDA,PCX150,MOTORCYCLE,Motorcycle
HONDA,S2000,PASSENGER CAR,Passenger Car
HONDA,SH150I,MOTORCYCLE,Motorcycle
HONDA,VT700C (SHADOW),MOTORCYCLE,Motorcycle
HONDA,VT750 (SHADOW PHANTOM),MOTORCYCLE,Motorcycle
HUSQVARNA,HUSQVARNA,MOTORCYCLE,Motorcycle
HYUNDAI,AZERA,PASSENGER CAR,Passenger Car
HYUNDAI,XG 350,PASSENGER CAR,Passenger Car
INFINITI,EX35,PASSENGER CAR,Passenger Car
INFINITI,QX56,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
INFINITI,QX70,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
INFINITI,QX80,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
ISUZU,AMIGO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
ISUZU,AXIOM,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
ISUZU,HOMBRE,TRUCK,Single Unit Short-haul Truck
ISUZU,RODEO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
ISUZU,RODEO/AMIGO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
JAGUAR,S-TYPE,PASSENGER CAR,Passenger Car
JAGUAR,XE,PASSENGER CAR,Passenger Car
KAWASAKI,CONCOURS 14,MOTORCYCLE,Motorcycle
KAWASAKI,NINJA 400,MOTORCYCLE,Motorcycle
KAWASAKI,NINJA 650,MOTORCYCLE,Motorcycle
KAWASAKI,NINJA ZX-14,MOTORCYCLE,Motorcycle
KAWASAKI,NINJA ZX-6R,MOTORCYCLE,Motorcycle
KAWASAKI,VULCAN 500,MOTORCYCLE,Motorcycle
KAWASAKI,VULCAN 900,MOTORCYCLE,Motorcycle
KIA,AMANTI,PASSENGER CAR,Passenger Car
KIA,CADENZA,PASSENGER CAR,Passenger Car
KIA,RONDO,PASSENGER CAR,Passenger Car
