Record Type,Make,Body Type
VEH,TH/RO,RBM
VEH,TH/TO,RBM
VEH,RIVIA,PICK
VEH,RIVA,PICK
VEH,OTHER,PICK
VEH,RVN,PICK
VEH,RIVIA,VAN
VEH,RIVIA,TANK
VEH,RIVAN,VAN
VEH,HONDA,SUBN
VEH,HONDA,4DSD
VEH,HONDA,SEDN
VEH,HONDA,CUST
VEH,HOLSC,BOAT
VEH,FMC,TR/C
VEH,ROYAL,MCY
VEH,TVR,2DSD
VEH,JAGUR,2DSD
VEH,BENEL,MCY
VEH,DODGE,BUS
VEH,GROVE,P/SH
VEH,WALTE,TRAV
VEH,RENAU,SEDN
VEH,ROKON,MCY
VEH,BROCK,TOW
VEH,WILLY,SN/P
VEH,CUSTO,2DSD
VEH,JACOB,CUST
VEH,ROKON,ATV
VEH,CTIR,4DSD
VEH,HARDA,MCY
VEH,HE/DA,MCY
VEH,TRIU,CONV
VEH,MAZDA,2DSD
VEH,CUSTO,TRLR
VEH,CADIL,SUBN
