Record Type,Make,Body Type,Vehicle Category
VEH,LICOL,4DSD,Combination Long-haul Truck
VEH,WRIOR,CONV,Light Commercial Truck
VEH,CATGR,RBM,Single Unit Short-haul Truck
VEH,TE/GA,UTIL,Transit Bus
VEH,MUSTA,2DSD,Other Buses
VEH,FORDM,2DSD,Other Buses
VEH,FOR,2DSD,Other Buses
VEH,MUS,2DSD,Other Buses
VEH,TOYOT,2DSD,Other Buses
VEH,ST/CH,MCY,Motorcycle
VEH,MRECU,2DSD,Other Buses
VEH,SELDE,FLAT,Combination Short-haul Truck
VEH,MUSTA,CONV,Light Commercial Truck
VEH,FORDQ,2DSD,Other Buses
VEH,FOR,SUBN,Combination Short-haul Truck
VEH,CHEVR,DUMP,School Bus
VEH,CHEV,SWT,Single Unit Long-haul Truck
VEH,DTM,2DSD,Other Buses
VEH,DETOM,2DSD,Other Buses
VEH,GEHL,TR/C,Refuse Truck
VEH,AU/HE,CONV,Light Commercial Truck
VEH,LI/BE,TR/C,Refuse Truck
VEH,BUICK,SEDN,Single Unit Long-haul Truck
VEH,BUI,4DSD,Combination Long-haul Truck
VEH,LAYMO,RD/S,School Bus
VEH,LGC,RBM,Single Unit Short-haul Truck
VEH,LI/GI,TR/C,Refuse Truck
VEH,CHEVR,VAN,Motor Home
VEH,CHERV,2DSD,Other Buses
VEH,TOYOT,P/SH,Motor Home
VEH,TOYOT,SWT,Single Unit Long-haul Truck
VEH,TOYO,P/SH,Motor Home
VEH,CATEP,P/SH,Motor Home
VEH,RO/EN,MCY,Motorcycle
VEH,ENFIE,MCY,Motorcycle
VEH,HA/DA,ATV,Refuse Truck
VEH,ME/BE,SUBN,Combination Short-haul Truck
VEH,ME/BE,VAN,Motor Home
VEH,MERZ,VAN,Motor Home
VEH,SPRIN,VAN,Motor Home
VEH,ME/BE,H/WH,Motor Home
VEH,WINNE,H/WH,Motor Home
VEH,SUNSE,H/WH,Motor Home
VEH,FORES,H/WH,Motor Home
VEH,THOR,H/WH,Motor Home
VEH,ISATA,H/WH,Motor Home
VEH,SSK,H/WH,Motor Home
VEH,ITASC,H/WH,Motor Home
VEH,ME/BE,PICK,Passenger Truck
VEH,ME/BE,DELV,Combination Long-haul Truck
VEH,MAUCK,VAN,Motor Home
VEH,CHATE,H/WH,Motor Home
VEH,SU/SE,H/WH,Motor Home
VEH,LE/TR,H/WH,Motor Home
VEH,ME/BE,UTIL,Transit Bus
VEH,MELBO,H/WH,Motor Home
VEH,FO/RI,H/WH,Motor Home
VEH,PRISM,H/WH,Motor Home
VEH,THGM,H/WH,Motor Home
VEH,OLDSM,SEDN,Single Unit Long-haul Truck
VEH,HARLE,MOPD,Light Commercial Truck
VEH,AMERI,4DSD,Combination Long-haul Truck
VEH,GENER,UTIL,Transit Bus
VEH,BROOK,TRAC,Passenger Car
VEH,KOEHR,UTIL,Transit Bus
VEH,KOCHR,T/CR,Single Unit Short-haul Truck
VEH,EXCAL,2DSD,Other Buses
VEH,BROCK,PICK,Passenger Truck
VEH,PEUGE,MCY,Motorcycle
VEH,SEDAN,4DSD,Combination Long-haul Truck
VEH,CITRO,CONV,Light Commercial Truck
VEH,SUBAR,2DSD,Other Buses
